event_name,qmeter_name,start_line,end_line,direction,start_polarization,end_polarization,swing,max_polarization,monotonicity_fraction,accepted
2007-07-12_10h11m05s,Top Proton,3447,3614,-1,66.36521,-68.9771,-135.34231,-68.9771,0.9813664596273292,N
2007-07-12_10h11m05s,Top Proton,3614,3622,1,-68.9771,0.02313991,69.00023990999999,-68.9771,0.625,N
2007-07-12_10h11m05s,Top Proton,3622,3638,-1,0.02313991,-71.41531,-71.43844991,-71.41531,0.6875,N
2007-07-12_10h11m05s,Top Proton,3638,3644,1,-71.41531,-0.06957475,71.34573525,-71.41531,1.0,N
2007-07-12_10h11m05s,Top Proton,3647,3653,1,-54.76403,0.04132056,54.80535056,-54.76403,0.6666666666666666,N
2007-07-12_10h11m05s,Top Proton,3653,3657,-1,0.04132056,-73.3739,-73.41522056000001,-73.3739,1.0,N
2007-07-12_10h11m05s,Top Proton,3657,3662,1,-73.3739,0.04553117,73.41943117000001,-73.3739,0.8,N
2007-07-12_10h11m05s,Top Proton,3662,3671,-1,0.04553117,-62.14749,-62.193021169999994,-62.14749,0.7777777777777778,N
2007-07-12_10h11m05s,Top Proton,3671,3676,1,-62.14749,0.003801811,62.151291811,-62.14749,1.0,N
2007-07-12_10h11m05s,Top Proton,3676,3693,-1,0.003801811,-71.89064,-71.89444181100001,-71.89064,0.5882352941176471,N
2007-07-12_10h11m05s,Top Proton,3694,3699,-1,-0.00100161,-71.21661,-71.21560839,-71.21661,0.8,N
2007-07-12_10h11m05s,Top Proton,3699,3704,1,-71.21661,0.02667993,71.24328993,-71.21661,1.0,N
2007-07-12_10h11m05s,Top Proton,3704,3712,-1,0.02667993,-72.14105,-72.16772993000001,-72.14105,0.625,N
2007-07-12_10h11m05s,Top Proton,3712,3755,1,-72.14105,-26.45208,45.68897000000001,-72.14105,0.6764705882352942,N
2007-07-12_10h11m05s,Top Proton,3755,3835,-1,-26.45208,-74.06729,-47.615210000000005,-74.06729,0.65,N
2007-07-12_10h11m05s,Top Proton,3835,4050,1,-74.06729,0.1947549,74.2620449,-74.06729,0.5656565656565656,N
2007-07-13_11h25m17s,Top Proton,169,788,1,0.2443656,51.90768,51.6633144,51.90768,0.8902439024390244,N
2007-07-13_11h25m17s,Top Proton,788,1021,-1,51.90768,34.26079,-17.64689,51.90768,0.9484536082474226,N
2008-03-03_11h58m33s,Top Proton,6359,6463,1,63.6076,79.03784,15.430240000000005,79.03784,0.9157894736842105,N
2008-03-03_11h58m33s,Top Proton,6463,6507,-1,79.03784,-0.6101304,-79.6479704,79.03784,0.40625,N
2008-03-03_11h58m33s,Top Proton,6507,6961,1,-0.6101304,52.32064,52.9307704,52.32064,0.5279642058165548,N
2012-08-16_11h04m16s,Top Proton,632,3709,1,0.431907,88.63584,88.203933,89.55071,0.6493023255813953,N
